"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",NA,NA,"110 000 Ft/hó",NA,"Fenyőfa utca 1"," XVIII. kerület","30 m² terület","1 szoba",NA
"2",NA,NA,"165 000 Ft/hó",NA,"Május 1. út 6"," Tata","53 m² terület","2 szoba","3 m² erkély"
"3",NA,NA,"90 000 Ft/hó",NA,"Komáromi utca"," Tatabánya","34 m² terület","1 szoba",NA
"4",NA,NA,"125 000 Ft/hó",NA,"Nefelejcs utca 27-29."," VII. kerület","26 m² terület","1 szoba",NA
"5",NA,NA,"90 000 Ft/hó",NA,"Zalaegerszeg"," Kertváros","54 m² terület","2 szoba",NA
"6",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Fő utca, XIX. kerület",NA,NA
"7",NA,NA,"120 000 Ft/hó",NA,"Lorántffy Zsuzsanna utca"," Tiszaújváros","56 m² terület","2 szoba",NA
"8",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Honvéd utca, Hévíz",NA,NA
"9",NA,NA,"140 000 Ft/hó",NA,"Tűzliliom utca"," XXII. kerület","53 m² terület","1 + 2 fél szoba",NA
"10",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Bethlen utca 10-12/C, Debrecen",NA,NA
"11",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Rátz László utca 24, XI. kerület",NA,NA
"12",NA,NA,"109 000 Ft/hó",NA,"Tóth Árpád utca"," XIX. kerület","46 m² terület","1 szoba",NA
"13",NA,NA,"150 000 Ft/hó",NA,"Petneházy utca 38-42."," XIII. kerület","38 m² terület","1 + 1 fél szoba",NA
"14",NA,NA,"60 000 Ft/hó",NA,"Beszédes József sétány"," Siófok","20 m² terület","1 szoba","3 m² erkély"
"15","Új építésű",NA,"450 000 Ft/hó",NA,"Beszédes József sétány 57."," Siófok","90 m² terület","3 + 1 fél szoba","35 m² erkély"
"16",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Citrom utca, Pécs",NA,NA
"17",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Mészáros Lázár tér, Kecskemét",NA,NA
"18",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"Ruszek József utca, Keszthely",NA,NA
"19",NA,NA,"230 000 Ft/hó",NA,"Lehel utca"," XIII. kerület","78 m² terület","3 + 1 fél szoba",NA
"20",NA,NA,"80 000 Ft/hó",NA,"Liszt Ferenc sétány 2-10."," Siófok","29 m² terület","1 + 1 fél szoba","3 m² erkély"
"21",NA,NA,"100 000 Ft/hó",NA,"Liszt Ferenc sétány 2-10."," Siófok","38 m² terület","2 szoba","6 m² erkély"
"22",NA,NA,"120 000 Ft/hó",NA,"Liszt Ferenc sétány 2-10."," Siófok","56 m² terület","2 szoba","4 m² erkély"
"23",NA,NA,"150 000 Ft/hó",NA,"Szárnyas utca 14/A"," X. kerület","37 m² terület","1 szoba","2 m² erkély"
"24",NA,NA,"250 000 Ft/hó",NA,"Vitorlás utca"," Siófok","45 m² terület","2 szoba","12 m² erkély"
"25",NA,NA,"80 000 Ft/hó",NA,"Esze Tamás utca 4."," Nyergesújfalu","32 m² terület","1 szoba",NA
"26",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Stromfeld Aurél utca 5/A, Veszprém",NA,NA
"27",NA,NA,"70 000 Ft/hó",NA,"Jókai utca"," Békéscsaba","38 m² terület","1 szoba",NA
"28",NA,NA,"110 000 Ft/hó",NA,"Alkotmány utca"," Pécs","55 m² terület","2 szoba",NA
"29",NA,NA,"120 000 Ft/hó",NA,"Apafi utca"," Debrecen","68 m² terület","3 szoba","10 m² erkély"
"30",NA,NA,"260 000 Ft/hó",NA,"Gellérthegy utca"," I. kerület","50 m² terület","2 + 1 fél szoba","19 m² erkély"
"31",NA,NA,"150 000 Ft/hó",NA,"Kövér Lajos utca"," XIV. kerület","50 m² terület","1 + 1 fél szoba","4 m² erkély"
"32",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Albert utca 15, XI. kerület",NA,NA
"33",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Holub József utca, Zalaegerszeg",NA,NA
"34",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","75 000 Ft/hó",NA,"Dunakeszi, Madách-lakópark",NA,NA
"35",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Nefelejcs utca, VII. kerület",NA,NA
"36",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Léka utca, XIV. kerület",NA,NA
"37",NA,NA,"400 000 Ft/hó",NA,"Benczúr utca"," VI. kerület","140 m² terület","4 szoba",NA
"38",NA,NA,"150 000 Ft/hó",NA,"Garai utca"," Debrecen","64 m² terület","2 + 1 fél szoba","4 m² erkély"
"39",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","155 000 Ft/hó",NA,"Fő utca, XIX. kerület",NA,NA
"40",NA,NA,"100 000 Ft/hó",NA,"Damjanich utca 22"," Debrecen","36 m² terület","1 szoba","3 m² erkély"
"41",NA,NA,"140 000 Ft/hó",NA,"Fiastyúk utca 39"," XIII. kerület","36 m² terület","1 + 1 fél szoba",NA
"42","Új építésű",NA,"150 000 Ft/hó",NA,"Egressy út"," XIV. kerület","55 m² terület","2 szoba",NA
"43",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","90 000 Ft/hó",NA,"Sarkantyú utca 35, Nyíregyháza",NA,NA
"44",NA,NA,"78 000 Ft/hó",NA,"Vasvári Pál utca"," Nyíregyháza","28 m² terület","1 szoba",NA
"45",NA,NA,"65 000 Ft/hó",NA,"Napsugár köz"," Eger","20 m² terület","1 szoba",NA
"46",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"Stadion utca, Pécs",NA,NA
"47",NA,NA,"100 000 Ft/hó",NA,"Liszt Ferenc sétány 2-10."," Siófok","65 m² terület","3 szoba","4 m² erkély"
"48",NA,NA,"210 000 Ft/hó",NA,"Újlak"," II. kerület","60 m² terület","2 szoba","4 m² erkély"
"49",NA,NA,"180 000 Ft/hó",NA,"Kőrösi Csoma Sándor út"," X. kerület","85 m² terület","5 szoba",NA
"50",NA,NA,"200 000 Ft/hó",NA,"Deák Ferenc sétány"," Siófok","61 m² terület","3 szoba","16 m² erkély"
"51",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Aranyhegyi út 2, Esztergom",NA,NA
"52",NA,NA,"115 000 Ft/hó",NA,"Liszt Ferenc sétány 2-10"," Siófok","46 m² terület","2 szoba","15 m² erkély"
"53",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","90 000 Ft/hó",NA,"Rákóczi utca, Szigetszentmiklós",NA,NA
"54","Új építésű",NA,"160 000 Ft/hó",NA,"Sörgyár utca 41"," X. kerület","49 m² terület","2 szoba","8 m² erkély"
"55",NA,NA,"230 000 Ft/hó",NA,"Zöldkő utca"," II. kerület","80 m² terület","3 szoba","12 m² erkély"
"56",NA,NA,"70 000 Ft/hó",NA,"Sályi István utca"," Miskolc","37 m² terület","2 szoba","4 m² erkély"
"57",NA,NA,"140 000 Ft/hó",NA,"Bokréta utca"," IX. kerület","47 m² terület","2 szoba",NA
"58",NA,NA,"280 000 Ft/hó",NA,"Aulich utca"," V. kerület","54 m² terület","2 szoba",NA
"59",NA,NA,"160 000 Ft/hó",NA,"Fő utca 224"," Siófok","74 m² terület","3 szoba","10 m² erkély"
"60",NA,NA,"220 000 Ft/hó",NA,"Baross tér"," VII. kerület","62 m² terület","3 szoba",NA
"61","Új építésű",NA,"750 000 Ft/hó",NA,"Bíró László József körút"," XI. kerület","95 m² terület","4 szoba","44 m² erkély"
"62",NA,NA,"145 000 Ft/hó",NA,"Fiumei út"," VIII. kerület","69 m² terület","2 + 1 fél szoba",NA
"63","Új építésű",NA,"210 000 Ft/hó",NA,"Székesfehérvár",NA,"49 m² terület","2 szoba","14.51 m² erkély"
"64",NA,NA,"130 000 Ft/hó",NA,"Helsinki út"," XX. kerület","57 m² terület","2 + 1 fél szoba","6 m² erkély"
"65",NA,NA,"180 000 Ft/hó",NA,"Zoltán utca"," V. kerület","57 m² terület","2 + 1 fél szoba",NA
"66",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","75 000 Ft/hó",NA,"Dr. Bakó Ferenc utca 1-3, Eger",NA,NA
"67",NA,NA,"899 000 Ft/hó",NA,"Fő utca 10"," I. kerület","152 m² terület","3 szoba",NA
"68",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","129 000 Ft/hó",NA,"Varsó utca, XIV. kerület",NA,NA
"69",NA,NA,"150 000 Ft/hó",NA,"Galga utca"," XXII. kerület","47 m² terület","2 szoba","7 m² erkély"
"70",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Lajos utca, III. kerület",NA,NA
"71","Új építésű",NA,"160 000 Ft/hó",NA,"Barsi Ernő utca"," Győr","46 m² terület","2 szoba","7 m² erkély"
"72","Új építésű",NA,"190 000 Ft/hó",NA,"Vágóhíd utca"," IX. kerület","50 m² terület","2 szoba","10 m² erkély"
"73",NA,NA,"150 000 Ft/hó",NA,"Eötvös utca"," VI. kerület","76 m² terület","2 + 1 fél szoba",NA
"74",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Mester utca 83, IX. kerület",NA,NA
"75",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Bányató utca, X. kerület",NA,NA
"76",NA,NA,"110 000 Ft/hó",NA,"Dunakeszi",NA,"45 m² terület","2 szoba",NA
"77",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Föld utca 57, III. kerület",NA,NA
"78",NA,NA,"130 000 Ft/hó",NA,"Nyírpalota út"," XV. kerület","35 m² terület","1 + 1 fél szoba",NA
"79",NA,NA,"825 000 Ft/hó",NA,"Fő utca 10"," I. kerület","121 m² terület","3 szoba","10 m² erkély"
"80",NA,NA,"120 000 Ft/hó",NA,"Szárnyas utca 4/C"," X. kerület","30 m² terület","1 szoba","2 m² erkély"
"81",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","912 875 Ft/hó",NA,"Törökvész, II. kerület",NA,NA
"82",NA,NA,"70 000 Ft/hó",NA,"Akadémia körút"," Kecskemét","28 m² terület","1 szoba",NA
"83",NA,NA,"584 240 Ft/hó",NA,"Pasarét"," II. kerület","170 m² terület","5 szoba",NA
"84","Csak szoba",NA,"40 000 Ft/hó",NA,"Markó utca"," V. kerület","8 m² terület","2 + 1 fél szoba",NA
